Date,y,value
,Time,
January,7,-2.7
January,8,-2.2
January,9,-1.5
January,10,-0.7
January,11,0
January,12,0.6
January,13,0.9
January,14,0.9
January,15,0.7
January,16,0.4
January,17,0.2
January,18,0.1
January,19,-0.1
January,20,-0.3
January,21,-0.5
January,22,-0.8
January,23,-1.1
January,0,-1.5
January,1,-1.8
January,2,-2.1
January,3,-2.4
January,4,-2.6
January,5,-2.8
January,6,-2.9
January,7,-3.1
January,8,-2.7
January,9,-1.6
January,10,-0.5
January,11,0.3
January,12,1
January,13,1.4
January,14,1.4
January,15,1.1
January,16,0.1
January,17,-0.8
January,18,-1.2
January,19,-1.5
January,20,-1.7
January,21,-1.8
January,22,-1.8
January,23,-1.8
February,0,-1.7
February,1,-1.7
February,2,-1.5
February,3,-1.4
February,4,-1.3
February,5,-1.1
February,6,-1
February,7,-0.8
February,8,-0.5
February,9,0
February,10,0.5
February,11,1.1
February,12,1.6
February,13,2
February,14,2.2
February,15,2.1
February,16,1.6
February,17,1.1
February,18,0.8
February,19,0.7
February,20,0.6
February,21,0.5
February,22,0.4
February,23,0.4
February,0,0.3
February,1,0.2
February,2,0.2
February,3,0.1
February,4,0.2
February,5,0.2
February,6,0.2
February,7,0.3
February,8,0.4
February,9,0.8
February,10,1.2
February,11,1.6
February,12,2
February,13,2.2
February,14,2.3
February,15,2.2
February,16,1.8
February,17,1.5
February,18,1.3
February,19,1.2
February,20,1.1
February,21,1
February,22,1
February,23,0.9
February,0,0.9
February,1,0.8
February,2,0.7
February,3,0.6
February,4,0.6
February,5,0.5
February,6,0.3
February,7,0.2
February,8,0.2
February,9,0.3
February,10,0.5
February,11,0.7
February,12,0.9
February,13,1.1
February,14,1.1
February,15,1
February,16,0.8
February,17,0.5
February,18,0.2
February,19,0
February,20,-0.2
February,21,-0.4
February,22,-0.6
February,23,-0.9
February,0,-1.1
February,1,-1.4
February,2,-1.6
February,3,-1.9
February,4,-2.1
February,5,-2.3
February,6,-2.6
February,7,-2.8
February,8,-2.4
